"REF_DATE,""GEO"",""DGUID"",""Sex"",""Age group"",""Activity"",""Period of the week"",""Student response"",""UOM"",""UOM_ID"",""SCALAR_FACTOR"",""SCALAR_ID"",""VECTOR"",""COORDINATE"",""VALUE"",""STATUS"",""SYMBOL"",""TERMINATED"",""DECIMALS"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekdays"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816939"",""3.1.2.2.1.1"",""20"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekdays"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816940"",""3.1.2.2.1.2"",""23"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekdays"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816941"",""3.1.2.2.1.3"",""24"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekdays"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816942"",""3.1.2.2.1.4"",""14"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekdays"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816943"",""3.1.2.2.1.5"",""8"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekdays"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816944"",""3.1.2.2.1.6"",""5"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekdays"",""About 5 hours"",""Percent"",""239"",""units "",""0"",""v29816945"",""3.1.2.2.1.7"",""3"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekdays"",""About 6 hours"",""Percent"",""239"",""units "",""0"",""v29816946"",""3.1.2.2.1.8"",""1"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekdays"",""About 7 hours or more"",""Percent"",""239"",""units "",""0"",""v29816947"",""3.1.2.2.1.9"",""3"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekend"",""None at all"",""Percent"",""239"",""units "",""0"",""v29816948"",""3.1.2.2.2.1"",""8"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekend"",""About half an hour"",""Percent"",""239"",""units "",""0"",""v29816949"",""3.1.2.2.2.2"",""10"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekend"",""About 1 hour"",""Percent"",""239"",""units "",""0"",""v29816950"",""3.1.2.2.2.3"",""20"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekend"",""About 2 hours"",""Percent"",""239"",""units "",""0"",""v29816951"",""3.1.2.2.2.4"",""18"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekend"",""About 3 hours"",""Percent"",""239"",""units "",""0"",""v29816952"",""3.1.2.2.2.5"",""14"","""","""","""",""0"""
"2002,""Belgium (French speaking)"","""",""Males"",""13 years"",""Using a computer"",""Weekend"",""About 4 hours"",""Percent"",""239"",""units "",""0"",""v29816953"",""3.1.2.2.2.6"",""10"","""","""","""",""0"""
